date,event,net_return,loss,turnover,kappa,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
2023-12-27,daily,0.0066863576744545464,-0.0066863576744545464,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-28,daily,-0.002414104766238158,0.002414104766238158,0.0,,0.00042333627437964597,0.00018058831740864152,6.573738845235589e-05,0.1959951087233738,0.2992547074967339,0.0003127708080028499,0.0002990762480143711,0.0308302113750113,0.4724252484113673,0.00021321495725566765
2023-12-29,daily,-0.0016965174513897973,0.0016965174513897973,0.3729788318186867,1.0938681096996334,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-02,daily,0.00513993558171506,-0.00513993558171506,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-03,daily,-0.0015911378454802195,0.0015911378454802195,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-04,daily,-0.0017964111677047268,0.0017964111677047268,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-05,daily,-0.0009544723466907068,0.0009544723466907068,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-08,daily,0.00264517052471553,-0.00264517052471553,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-09,daily,-0.0024297406845595693,0.0024297406845595693,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-10,daily,0.00023780857958666162,-0.00023780857958666162,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-11,daily,0.0015047812386543593,-0.0015047812386543593,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-12,daily,0.0035215980059901644,-0.0035215980059901644,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-16,daily,-0.009555633078545733,0.009555633078545733,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-17,daily,-0.005750788546549618,0.005750788546549618,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-18,daily,0.0032029101703750073,-0.0032029101703750073,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-19,daily,0.0037937208229531197,-0.0037937208229531197,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-22,daily,0.0019689378536883136,-0.0019689378536883136,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-23,daily,0.0008867288244152982,-0.0008867288244152982,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-24,daily,-0.00416009100794246,0.00416009100794246,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-25,daily,0.00440047668499179,-0.00440047668499179,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-26,daily,0.0019470029276606154,-0.0019470029276606154,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-29,daily,0.006465390299313597,-0.006465390299313597,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-30,daily,0.0027029691076343424,-0.0027029691076343424,0.0,,0.0011531958856479505,0.0017806616030067437,4.786438562716619e-05,0.07798127963269502,0.2992547060919017,0.0006565676975806699,0.08374954478577763,0.13119542896014724,0.40412570451759516,5.504644002072347e-05
2024-01-31,daily,-0.004325807576769096,0.004325807576769096,0.010276672143059966,1.0406562155115857,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-01,daily,0.010700692326303636,-0.010700692326303636,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-02,daily,-0.004025606273245719,0.004025606273245719,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-05,daily,-0.0020764569276888853,0.0020764569276888853,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-06,daily,0.006740189747391554,-0.006740189747391554,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-07,daily,0.0020709329236992258,-0.0020709329236992258,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-08,daily,0.0002062684158072457,-0.0002062684158072457,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-09,daily,-0.002467032232194926,0.002467032232194926,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-12,daily,0.0006230112542688843,-0.0006230112542688843,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-13,daily,-0.012019682024945195,0.012019682024945195,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-14,daily,0.00450619549085354,-0.00450619549085354,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-15,daily,0.008837506710815455,-0.008837506710815455,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-16,daily,0.0010910125691551433,-0.0010910125691551433,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-20,daily,-0.001552269448834952,0.001552269448834952,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-21,daily,0.0022792777510609263,-0.0022792777510609263,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
2024-02-22,daily,0.008338686908207252,-0.008338686908207252,0.0,,0.0003103085746631546,0.00021821431964762564,5.4715791634621544e-05,0.07589745751010032,0.3011415099978476,0.00011870879933039491,0.08699422554535417,0.13108742735439885,0.404125617240296,5.181486672711869e-05
